Sales Man,2014,,,2015,,,,,2016,,,,2017,2018,
Bill,54,37,92,37,40,13,86,89,86,76,58,75,43,21,27
John,35,71,91,42,50,77,87,87,60,75,99,25,23,28,62
Sarah,23,83,36,37,77,47,56,40,37,39,42,46,67,45,52
Liz,1,78,6,23,45,33,65,71,69,92,4,70,12,49,76
Radcliff,11,85,1,27,85,65,98,62,34,34,76,55,87,98,90
Mathew,34,44,79,17,97,48,52,40,63,11,31,75,5,24,26
Rachel,90,51,52,59,74,58,16,32,92,62,58,88,10,61,38
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Sales Man,2014,2015,2016,2017,2018,,,,,,,,,,
Bill,183,265,295,43,48,,,,,,,,,,
John,197,343,259,23,90,,,,,,,,,,
Sarah,142,257,164,67,97,,,,,,,,,,
Liz,85,237,235,12,125,,,,,,,,,,
Radcliff,97,337,199,87,188,,,,,,,,,,
Mathew,157,254,180,5,50,,,,,,,,,,
Rachel,193,239,300,10,99,,,,,,,,,,
